"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,      -1.230757334,       1.497848933,       1.260720213,       4.557387732
          0,           0,           1,     -0.7361412412,       2.029437865,        1.60047457,       5.077671508
          0,           0,           2,     -0.6137445907,       2.149403458,       1.682918182,        5.21020681
          0,           0,           3,     -0.6319250207,       2.180903357,       1.621969743,       5.168988231
          0,           0,           4,     -0.6742718712,       2.208098621,       1.619210107,       5.105482746
          0,           0,           5,     -0.6162079245,       2.271367722,       1.617068371,       5.166328726
          0,           0,           6,     -0.6423640872,       2.231795923,       1.559592346,       5.153503557
          0,           0,           7,    -0.01924587439,       3.023900399,       2.051714029,       5.748702624
          0,           0,           8,     -0.3828923801,       2.619594975,       1.796826762,       5.455742955
          0,           0,           9,     -0.4903697546,       2.494521296,       1.629062458,       5.360732317
          0,           0,          10,     -0.5458353743,       2.426318238,       1.577707553,       5.310084114
          0,           0,          11,     -0.5864771386,       2.368064695,       1.550423424,       5.269621647
          0,           0,          12,     -0.6190288722,       2.289583264,       1.555705127,       5.222172276
          0,           0,          13,     -0.6361668092,       2.256743577,       1.514951238,        5.20224778
          0,           0,          14,     -0.6296005129,       2.262409315,       1.512841735,       5.205528288
          0,           0,          15,     -0.6534387937,       2.240968065,        1.49777341,       5.185012979
          0,           0,          16,     -0.6778948392,       2.200979314,       1.406397682,       5.160148021
          0,           0,          17,     -0.6540980928,       2.210956264,       1.446387747,        5.17547196
          0,           0,          18,     -0.6921087754,       2.187609242,        1.38495076,       5.145444881
          0,           0,          19,     -0.6759755958,       2.196723542,       1.395581573,       5.156194439
          0,           0,          20,     -0.5364937132,       2.438272781,        1.50723108,       5.239009698
          0,           0,          21,     -0.6467654791,       2.275213489,       1.430139961,       5.170287844
          0,           0,          22,     -0.5838996174,       2.271090911,        1.44191744,       5.223429889
          0,           0,          23,     -0.7376608187,       2.241105814,       1.376716635,       5.057469935
          0,           0,          24,     -0.6579438442,       2.315797999,       1.479881416,       5.137790634
          0,           0,          25,     -0.7549335957,       2.213777252,       1.428828675,       5.050661554
          0,           0,          26,     -0.7345998814,       2.231312892,       1.391528098,       5.064060186
          0,           0,          27,     -0.7409549008,       2.228056787,       1.387825416,       5.055612512
          0,           0,          28,     -0.7841592667,        2.17928912,       1.320372906,       5.030576504
          0,           0,          29,     -0.8191257176,       2.134233745,       1.343735314,       5.003090099
          0,           0,          30,     -0.8288104722,       2.127870204,       1.307232621,       4.988391207
          0,           0,          31,     -0.8224343139,       2.134285106,       1.332577852,       4.991614903
          0,           0,          32,     -0.8226611582,       2.136569277,       1.325724285,       4.987232775
          0,           0,          33,     -0.7503966662,       2.215084824,       1.370908281,       5.050402845
          0,           0,          34,      -0.720206215,       2.254292028,       1.385470516,       5.079334716
          0,           0,          35,     -0.6818352551,       2.296867548,       1.391987422,       5.119861339
          0,           0,          36,     -0.6779989669,       2.303991974,       1.385094495,       5.137682248
          0,           0,          37,     -0.7017891252,       2.274503106,       1.373405425,       5.126955857
          0,           0,          38,       -0.76255375,       2.206394444,       1.359247824,       5.065948168
          0,           0,          39,     -0.7944350867,       2.167340938,       1.365657573,       5.029358184
          0,           0,          40,     -0.8007659074,       2.159894355,       1.390245807,       5.014433452
          0,           0,          41,     -0.7563197822,       2.213173478,       1.421464307,       5.055426665
          0,           0,          42,     -0.7694174641,       2.193749186,       1.420612727,       5.051679999
          0,           0,          43,      -0.766174133,       2.196485222,       1.422074111,       5.052063995
          0,           0,          44,     -0.7714417591,       2.190823803,       1.419197942,       5.043754008
          0,           0,          45,     -0.7629892224,       2.208630004,       1.418992429,       5.055633645
          0,           0,          46,     -0.7790631248,       2.179791453,       1.391279075,       5.040673041
          0,           0,          47,     -0.7942741878,       2.169722112,       1.379545013,       5.018645186
          0,           0,          48,     -0.8065988956,        2.15272937,       1.371859355,       5.005187281
          0,           0,          49,     -0.7714762935,       2.199515861,        1.39239938,         5.0434116
          0,           0,          50,     -0.8090570585,       2.154511829,       1.349336926,       5.009102357
          0,           0,          51,     -0.8181751605,       2.140011106,       1.374641505,       5.002638823
          0,           0,          52,     -0.7924682209,        2.17337865,       1.377182468,       5.021087802
          0,           0,          53,      -0.778458158,       2.187595774,       1.384892496,       5.033015458
          0,           0,          54,     -0.7991424499,       2.171659847,       1.359662934,       5.021515869
          0,           0,          55,     -0.8062870382,       2.154458865,        1.37489903,       5.018965393
          0,           0,          56,     -0.8007243129,       2.159857594,       1.381548001,        5.02138084
          0,           0,          57,     -0.7903004448,       2.173512146,       1.401573238,       5.027684447
          0,           0,          58,     -0.7890016277,       2.186804625,       1.399948153,       5.037436796
          0,           0,          59,     -0.7829861771,       2.180817438,       1.401255634,       5.032137835
          0,           0,          60,      -0.781154978,       2.180488959,        1.40475371,       5.035845355
          0,           0,          61,     -0.7736917031,       2.204181598,       1.425505866,       5.032490859
          0,           0,          62,     -0.7806871774,       2.190107993,       1.423120535,       5.036241113
          0,           0,          63,     -0.7816393407,       2.184998292,       1.424820853,       5.033852918
          0,           0,          64,     -0.7888449603,       2.179166268,       1.399754875,        5.02150145
          0,           0,          65,     -0.7758412949,       2.190808255,       1.416503698,       5.031074335
          0,           0,          66,     -0.7565640563,       2.213960645,       1.439125804,       5.049699624
          0,           0,          67,     -0.7565599867,       2.219090901,       1.424424836,        5.05991539
