"Time_Iter";"Outer_Iter";"Inner_Iter";    "rms[Rho]"    ;    "rms[RhoU]"   ;    "rms[RhoV]"   ;    "rms[RhoE]"   
          0;           0;           0;      -1,422843921;       1,305762346;       1,068633626;       4,365301144
          0;           0;           1;      -1,085661397;       1,745590529;       1,355544241;       4,760156819
          0;           0;           2;      -1,002705454;       1,874168386;       1,500024635;       4,810543949
          0;           0;           3;     -0,9265321501;       1,937364338;       1,624011259;       4,889103588
          0;           0;           4;     -0,9032417176;       1,970527472;       1,666174316;       4,889183878
          0;           0;           5;     -0,8700058191;       2,024103303;       1,671442516;       4,925643766
          0;           0;           6;     -0,9647045955;       1,905315482;       1,499990731;       4,860304491
          0;           0;           7;     -0,9975896695;       1,874641833;       1,422365365;       4,837150098
          0;           0;           8;     -0,9830035568;       1,915164074;       1,423090692;       4,838985455
          0;           0;           9;      -1,005965029;       1,882372926;       1,449484269;       4,808039571
          0;           0;          10;     -0,8716267576;       2,044610443;       1,469034435;       4,926560994
          0;           0;          11;     -0,9105071999;       2,017668265;        1,44170432;       4,876285773
          0;           0;          12;     -0,8752358917;       2,019870431;       1,443924479;       4,917887328
          0;           0;          13;     -0,9000963186;       2,025135267;       1,491021102;        4,88754365
          0;           0;          14;     -0,8711756086;       2,034472441;       1,562849724;       4,918374387
          0;           0;          15;     -0,9430438467;       1,950073715;       1,525969497;       4,837765426
          0;           0;          16;      -0,936243868;       1,937872514;       1,591628843;       4,857419728
          0;           0;          17;     -0,9900850165;       1,898196692;       1,610124709;       4,792904618
          0;           0;          18;     -0,9587697801;       1,939651918;       1,675247731;       4,832016652
          0;           0;          19;     -0,9162795104;       1,968346453;       1,751564769;        4,86720293
          0;           0;          20;     -0,9519476157;       1,946608457;       1,665053439;        4,83634202
          0;           0;          21;      -0,944872482;       2,010587439;       1,549317044;       4,829871671
          0;           0;          22;     -0,9870836209;       1,978214573;       1,507123964;       4,793028514
          0;           0;          23;     -0,9762197111;       1,945108755;       1,611051935;         4,8036507
          0;           0;          24;      -1,008459547;       1,941348809;        1,49373015;       4,774164429
          0;           0;          25;     -0,9549793303;       1,950086885;       1,680406643;        4,82816751
          0;           0;          26;     -0,9382839766;        1,98995955;        1,68163174;         4,8439365
          0;           0;          27;      -0,950298041;       1,940944838;       1,700535381;       4,826733472
          0;           0;          28;     -0,9316870644;       1,961040001;       1,722211939;        4,84757111
          0;           0;          29;     -0,9149695857;       1,946961967;       1,783793991;       4,859649912
