"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,           0,      0.5787427127,       3.535977498,       2.534963598,       6.366244197,      -2.716521346
          0,           0,           1,      0.5783861984,       3.535621964,       2.534791354,       6.365883547,      -2.379635711
          0,           0,           2,      0.5779602894,       3.535196311,       2.534537478,       6.365452506,      -2.189713349
          0,           0,           3,      0.5774507198,       3.534686209,       2.534178193,        6.36493664,      -2.016030357
          0,           0,           4,      0.5768402952,       3.534074438,       2.533702982,       6.364318555,      -1.988274343
          0,           0,           5,      0.5761084526,        3.53334031,       2.533091138,       6.363577439,      -1.923303472
          0,           0,           6,      0.5752305388,       3.532459131,        2.53231283,       6.362688318,      -1.869817975
          0,           0,           7,      0.5741764171,       3.531400569,        2.53133514,       6.361620751,      -1.761725193
          0,           0,           8,      0.5729105938,       3.530129077,         2.5301328,       6.360338626,      -1.796686319
          0,           0,           9,      0.5713889629,       3.528600445,       2.528650269,       6.358797747,       -1.87148284
          0,           0,          10,      0.5695570125,       3.526759041,       2.526820678,       6.356942227,       -1.97066424
          0,           0,          11,      0.5673534878,       3.524544683,       2.524597324,        6.35470938,      -2.024617577
          0,           0,          12,       0.564697381,       3.521874586,       2.521888217,       6.352016989,      -2.087657516
          0,           0,          13,      0.5614931131,       3.518653795,       2.518535448,       6.348769917,      -2.105533683
          0,           0,          14,      0.5576260781,       3.514768362,       2.514492082,       6.344851415,      -2.100440634
          0,           0,          15,      0.5529601391,       3.510084803,       2.509596067,       6.340119751,      -2.123745216
          0,           0,          16,      0.5473198802,       3.504429333,       2.503642354,        6.33439933,      -2.112258161
          0,           0,          17,       0.540478777,       3.497574933,       2.496448494,       6.327465306,      -2.107291312
          0,           0,          18,      0.5321810451,       3.489276153,       2.487661808,       6.319057703,      -2.102253123
          0,           0,          19,      0.5219896852,       3.479075926,       2.476915048,       6.308758135,      -2.099769097
          0,           0,          20,      0.5095030368,       3.466593242,       2.463956212,       6.296154908,      -2.073103542
          0,           0,          21,      0.4941162208,       3.451230273,       2.447811652,       6.280666409,      -2.060914034
          0,           0,          22,      0.4750305791,       3.432192768,       2.428278812,       6.261532071,      -2.053966853
          0,           0,          23,      0.4511228816,       3.408370903,       2.404615252,       6.237670078,      -2.096460997
          0,           0,          24,      0.4207356546,       3.378114864,       2.375874684,       6.207486341,      -2.168860405
          0,           0,          25,      0.3813584962,       3.338943117,       2.340694791,       6.168557937,      -2.115525331
          0,           0,          26,      0.3292851118,       3.287252833,       2.297454489,       6.117399046,      -2.085311579
          0,           0,          27,      0.2586331933,       3.217500484,       2.245663221,       6.048877407,       -2.17952124
          0,           0,          28,      0.1595410791,       3.120772114,        2.19142023,       5.955645344,      -2.253695388
          0,           0,          29,     0.01687915268,       2.985061451,       2.150005171,       5.831594448,      -2.330409894
          0,           0,          30,     -0.1502185141,       2.836729031,       2.139944343,       5.717386291,      -2.377814769
          0,           0,          31,     -0.1473241094,       2.843854104,       2.175750046,       5.742358822,      -2.384113886
          0,           0,          32,      -0.101076074,       2.887894145,       2.215960789,       5.791137007,      -2.407380336
          0,           0,          33,    -0.06159442533,       2.924063749,       2.245459138,         5.8323625,      -2.392816668
          0,           0,          34,     -0.0339714052,       2.948082898,       2.263697544,       5.861197152,      -2.383249599
          0,           0,          35,    -0.01670311932,       2.961912544,       2.273063661,       5.878714091,      -2.404462601
          0,           0,          36,   -0.004529222527,       2.970573754,       2.276944084,       5.889969401,      -2.450737963
          0,           0,          37,    0.003925977684,       2.975762513,       2.275619635,        5.89683302,      -2.507999458
          0,           0,          38,    0.002209046001,       2.971495217,       2.265692812,       5.893542016,      -2.550236643
          0,           0,          39,   -0.006635276825,       2.960495948,       2.257321322,        5.88320609,      -2.611700865
          0,           0,          40,     -0.0201064698,       2.945021741,       2.247881993,       5.867180958,       -2.65322391
          0,           0,          41,    -0.03369270516,       2.930111643,       2.237715832,       5.849640839,       -2.69320106
          0,           0,          42,    -0.03928922421,       2.923288003,       2.234895794,       5.838152605,      -2.731472105
          0,           0,          43,    -0.03389156171,       2.925729018,       2.234871112,       5.837444711,      -2.755180112
          0,           0,          44,    -0.02422976632,       2.930909984,       2.228391609,       5.841961326,      -2.767520229
          0,           0,          45,    -0.01892905561,       2.931136834,       2.212276501,       5.843766651,      -2.781316306
          0,           0,          46,    -0.01984442782,        2.92482558,       2.187050672,       5.839979723,      -2.783166052
          0,           0,          47,    -0.02967049541,       2.909341793,       2.151228271,       5.827839868,      -2.781829813
          0,           0,          48,    -0.05269597658,       2.880633777,       2.103470433,       5.802192284,      -2.790676876
          0,           0,          49,    -0.08893791064,       2.838876826,       2.048109443,       5.762922813,      -2.795417164
